"","Ķīm.","Rīgas 46. vidusskola","75"
"","Latv. val.","Rīgas 46. vidusskola","45.38"
"","Vēsture","Rīgas 46. vidusskola","85.48"
"","Matem.","Rīgas 46. vidusskola","30.54"
"","Latv. val. 9.kl.","Rīgas 46. vidusskola","57.35"
"","Angļu v.","Rīgas 47. vidusskola","63.7"
"","Bio.","Rīgas 47. vidusskola","76"
"","Fiz.","Rīgas 47. vidusskola","47.33"
"","Latv. val.","Rīgas 47. vidusskola","63.77"
"","Matem.","Rīgas 47. vidusskola","33.12"
"","Angļu v.","Rīgas 49. vidusskola","71.22"
"","Bio.","Rīgas 49. vidusskola","53.04"
"","Fiz.","Rīgas 49. vidusskola","47.33"
"","Krievu v.","Rīgas 49. vidusskola","64.71"
"","Ķīm.","Rīgas 49. vidusskola","53.6"
"","Latv. val.","Rīgas 49. vidusskola","64.88"
"","Vēsture","Rīgas 49. vidusskola","72.45"
"","Matem.","Rīgas 49. vidusskola","50.89"
"","Angļu v.","Rīgas 51. vidusskola","50.16"
"","Latv. val.","Rīgas 51. vidusskola","36.7"
"","Matem.","Rīgas 51. vidusskola","37.54"
"","Latv. val. 9.kl.","Rīgas 51. vidusskola","62.89"
"","Angļu v.","Rīgas 53. vidusskola","53.58"
"","Bio.","Rīgas 53. vidusskola","64"
"","Fiz.","Rīgas 53. vidusskola","34"
"","Ķīm.","Rīgas 53. vidusskola","73.33"
"","Latv. val.","Rīgas 53. vidusskola","38.04"
"","Vēsture","Rīgas 53. vidusskola","73.39"
"","Matem.","Rīgas 53. vidusskola","28.66"
"","Latv. val. 9.kl.","Rīgas 53. vidusskola","69.71"
"","Angļu v.","Rīgas 54. vidusskola","59.58"
"","Ķīm.","Rīgas 54. vidusskola","45.33"
"","Latv. val.","Rīgas 54. vidusskola","44.59"
"","Matem.","Rīgas 54. vidusskola","31.99"
"","Latv. val. 9.kl.","Rīgas 54. vidusskola","61.4"
"","Angļu v.","Rīgas 6. vidusskola","71.03"
"","Bio.","Rīgas 6. vidusskola","57"
"","Fiz.","Rīgas 6. vidusskola","34"
"","Krievu v.","Rīgas 6. vidusskola","78.51"
"","Ķīm.","Rīgas 6. vidusskola","56.67"
"","Latv. val.","Rīgas 6. vidusskola","65.43"
"","Vēsture","Rīgas 6. vidusskola","61.69"
"","Matem.","Rīgas 6. vidusskola","38.03"
"","Angļu v.","Rīgas 60. vidusskola","55.19"
"","Bio.","Rīgas 60. vidusskola","51.33"
"","Ķīm.","Rīgas 60. vidusskola","50.67"
"","Latv. val.","Rīgas 60. vidusskola","38.92"
"","Vēsture","Rīgas 60. vidusskola","74.6"
"","Matem.","Rīgas 60. vidusskola","34.73"
"","Latv. val. 9.kl.","Rīgas 60. vidusskola","60.14"
"","Angļu v.","Rīgas 61. vidusskola","53.97"
"","Latv. val.","Rīgas 61. vidusskola","32.67"
"","Matem.","Rīgas 61. vidusskola","24.02"
"","Latv. val. 9.kl.","Rīgas 61. vidusskola","67.61"
"","Angļu v.","Rīgas 63. vidusskola","59.33"
"","Bio.","Rīgas 63. vidusskola","56.89"
"","Fiz.","Rīgas 63. vidusskola","47"
"","Ķīm.","Rīgas 63. vidusskola","19.33"
